probe	count.ini	count.fil	count.xun	count.uni	count.qc	diagnosis
INSHsOth1700BP2Reads	2488	29	0	29	29	
INSHsOth1751BP1HG00268	2105	103	0	103	103	
INSHsOth1751BP2HG00268	2369	88	0	88	88	
INSHsOth1794BP1NA19434	1380	28	0	28	28	
INSHsOth1794BP2NA19434	1635	0	0	0	0	emptyAlt,allFiltered
INVHsInv0004BP1HuRef	401	227	0	227	227	
INVHsInv0004BP2HuRef	370	207	0	207	207	
INVHsInv0006BP1HuRef	992	546	3	543	543	errorMatches
INVHsInv0006BP2HuRef	498	498	63	435	435	errorMatches
INVHsInv0015BP1HuRef	3906	1154	0	1154	1154	
INVHsInv0015BP2HuRef	3468	1158	0	1158	1158	
INVHsInv0016BP1HuRef	7017	1542	0	1542	1542	
INVHsInv0016BP2HuRef	4783	1224	0	1224	1224	
INVHsInv0041BP1HuRef	2179	408	0	408	408	
INVHsInv0041BP2HuRef	2964	472	0	472	472	
INVHsInv0044BP1HuRef	3886	2568	0	2568	2568	
INVHsInv0044BP2HuRef	5508	2216	0	2216	2216	
INVHsInv0058BP1HuRef	2807	1028	0	1028	1028	
INVHsInv0058BP2HuRef	4126	1206	0	1206	1206	
INVHsInv0059BP1HuRef	1304	962	0	962	962	
INVHsInv0059BP2HuRef	2727	1043	0	1043	1043	
INVHsInv0060BP1HuRef	2042	869	0	869	869	
INVHsInv0060BP2HuRef	851	490	0	490	490	
INVHsInv0068BP1HuRef	5	1	0	1	1	
INVHsInv0068BP2HuRef	18	9	0	9	9	
INVHsInv0068BP3NA19240_versionalternativa	1385	912	0	912	912	
INVHsInv0068BP4NA19240_versionalternativa	1344	922	0	922	922	
INVHsInv0081BP1HuRef	1992	501	0	501	501	
INVHsInv0081BP2HuRef	2222	575	0	575	575	
INVHsInv0091BP2HuRef	3355	1262	0	1262	1262	
INVHsInv0091BP3HuRef	3914	1018	0	1018	1018	
INVHsInv0092BP1NA19240	573	218	0	218	218	
INVHsInv0092BP2NA19240	392	246	0	246	246	
INVHsInv0095BP1NA19129	1125	387	0	387	387	
