probe	count.ini	count.fil	count.xun	count.uni	count.qc	diagnosis
INSHsOth1700BP1Reads	2905	29	0	24	16	
INSHsOth1700BP2Reads	3544	41	0	29	18	
INSHsOth1751BP1HG00268	3038	149	0	101	31	
INSHsOth1751BP2HG00268	3368	128	0	86	30	
INSHsOth1794BP1NA19434	2049	37	0	28	9	
INSHsOth1794BP2NA19434	2395	0	0	0	0	emptyAlt,allFiltered
INVHsInv0004BP1HuRef	607	347	0	226	73	
INVHsInv0004BP2HuRef	533	308	0	206	66	
INVHsInv0006BP1HuRef	1423	809	3	538	175	errorMatches
INVHsInv0006BP2HuRef	723	723	63	434	144	errorMatches
INVHsInv0015BP1HuRef	5343	1527	0	1143	574	
INVHsInv0015BP2HuRef	4832	1623	0	1143	490	
INVHsInv0016BP1HuRef	17753	2108	0	1520	661	
INVHsInv0016BP2HuRef	6473	1695	0	1203	472	
INVHsInv0041BP1HuRef	2823	546	0	405	194	
INVHsInv0041BP2HuRef	4164	636	0	467	234	
INVHsInv0044BP1HuRef	5279	3503	0	2549	1140	
INVHsInv0044BP2HuRef	6925	3027	0	2200	1004	
INVHsInv0058BP1HuRef	3755	1402	0	979	423	
INVHsInv0058BP2HuRef	5269	1616	0	1171	529	
INVHsInv0059BP1HuRef	1903	1419	0	946	315	
INVHsInv0059BP2HuRef	3930	1496	0	1018	357	
INVHsInv0060BP1HuRef	2805	1203	0	846	336	
INVHsInv0060BP2HuRef	1169	675	0	469	192	
INVHsInv0068BP1HuRef	5	1	0	1	1	
INVHsInv0068BP2HuRef	25	11	0	9	6	
INVHsInv0068BP3NA19240_versionalternativa	1864	1237	0	898	397	
INVHsInv0068BP4NA19240_versionalternativa	1781	1227	0	903	409	
INVHsInv0081BP1HuRef	2927	748	0	497	164	
INVHsInv0081BP2HuRef	3256	876	0	567	162	
INVHsInv0091BP2HuRef	4410	1659	0	1232	599	
INVHsInv0091BP3HuRef	4909	1359	0	988	471	
INVHsInv0092BP1NA19240	770	301	0	217	120	
INVHsInv0092BP2NA19240	506	327	0	240	117	
INVHsInv0095BP1NA19129	1554	541	0	378	202	
INVHsInv0095BP2NA19240	3926	2214	0	1614	733	
INVHsInv0097BP1NA15510	430	4	0	4	4	
INVHsInv0097BP2NA15510	3216	4	0	4	4	
INVHsInv0098BP1NA19240	923	347	0	266	142	
INVHsInv0098BP2NA19240	4533	662	75	156	89	errorMatches
INVHsInv0102BP1NA12156	3063	356	0	264	123	
INVHsInv0102BP2NA12156	1018	387	0	279	144	
INVHsInv0105BP1NA18507	1873	1113	0	788	299	
INVHsInv0105BP2NA18507	2152	1321	0	969	436	
INVHsInv0113BP1NA06985	2512	130	0	101	63	
INVHsInv0113BP2NA06985	4268	123	0	95	58	
INVHsInv0141BP1NA12156	6433	127	0	95	51	
INVHsInv0141BP2NA12156	6007	113	0	83	46	
INVHsInv0156BP1NA12878	839	323	0	227	87	
INVHsInv0156BP2NA12878	3447	431	0	281	86	
INVHsInv0163BP1NA11995	515	265	0	207	104	
INVHsInv0163BP2NA11995	1466	306	0	234	120	
INVHsInv0164BP1HG03838	2586	110	0	81	43	
INVHsInv0164BP2HG03838	2615	122	0	91	47	
INVHsInv0174BP1CHM1	5000	2385	0	1709	769	
INVHsInv0174BP2CHM1	2452	892	0	605	244	
INVHsInv0181BP1CHM1	139	0	0	0	0	emptyAlt,allFiltered
INVHsInv0181BP2CHM1	1775	606	580	2	1	errorMatches
INVHsInv0191BP1CHM1	209	123	0	102	65	
INVHsInv0191BP2CHM1	182	127	0	110	74	
INVHsInv0200BP1NA12878	1645	41	0	17	4	
INVHsInv0201BP1Celera	5351	1392	0	990	437	
INVHsInv0201BP2Celera	4706	1217	0	852	372	
INVHsInv0212BP1HX1	66	41	0	32	20	
INVHsInv0212BP2HX1	87	57	0	49	31	
INVHsInv0213BP1NA19440	1986	50	0	45	38	
INVHsInv0213BP2NA19440	178	46	0	41	31	
INVHsInv0260BP1NA18517	4105	415	0	317	173	
INVHsInv0284BP1NA19129	170	39	0	37	32	
INVHsInv0284BP2NA19129	987	40	0	39	36	
INVHsInv0379BP1Inv	202	19	0	18	13	
INVHsInv0379BP2Inv	325	19	0	16	4	
INVHsInv0409BP1NA12878	2507	736	0	510	191	
INVHsInv0409BP2NA12878	1465	523	0	361	134	
INVHsInv0442BP1AK1	4329	1167	0	852	390	
INVHsInv0442BP2AK1	4809	1177	0	861	374	
INVHsInv0553BP1NA12878	27	2	0	1	0	emptyAlt
INVHsInv0901BP0CHM1_versionalternativa	5340	754	0	575	293	
INVHsInv0901BP1CHM1	749	1	0	1	1	
INVHsInv0901BP2CHM1	2880	1	0	1	0	emptyAlt
INVHsInv0960BP1NA18552	545	184	0	121	39	
INVHsInv0960BP2NA18552	3186	181	0	118	33	
INVHsInv0965BP1NA19129	3605	291	0	217	118	
INVHsInv0965BP2NA19129	531	261	0	202	116	
INVHsInv0989BP1CHM1	1259	97	0	54	7	
INVHsInv0989BP2CHM1	281	38	0	19	1	
INVHsInv0991BP1CHM1	3854	1816	0	1360	707	
INVHsInv0991BP2CHM1	1569	959	0	696	320	
INVHsInv1053BP1HuRef	5167	1237	0	860	370	
INVHsInv1053BP2HuRef	4070	1658	0	1192	489	
INVHsInv1065BP1NA18956	3395	335	0	238	94	
INVHsInv1065BP2NA18956	1851	486	0	348	140	
INVHsInv1065BP3NA18956	2369	333	0	231	67	
INVHsInv1065BP4NA18956	4759	515	0	360	116	
INVHsInv1066BP1HG00268	1331	64	0	35	7	
INVHsInv1066BP2HG00268	359	63	0	37	4	
INVHsInv1070BP1NA11829	3270	54	0	21	3	
INVHsInv1070BP2NA11829	1824	56	0	26	1	
INVHsInv1075BP1NA19129	5864	412	0	252	56	
INVHsInv1075BP2NA19129	2018	313	3	194	33	errorMatches
INVHsInv1116BP1HuRef	6268	2447	0	1745	727	
INVHsInv1116BP2HuRef	3327	2072	0	1438	534	
INVHsInv1122BP1HuRef	1824	397	0	244	38	
INVHsInv1122BP2HuRef	884	367	0	226	38	
INVHsInv1127BP1NA19434	1307	57	0	52	43	
INVHsInv1127BP2NA19434	966	48	0	41	30	
